epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.9197,3.14119,4.92712,2.16715,0,0,0,0,2.90423,4.4377,2.51106,0.00012,0.00012,0.00012
2,36.0841,2.20354,3.93192,1.53254,0.00519,0.84848,0.01264,0.00574,1.61924,3.58145,1.2017,0.000257426,0.000257426,0.000257426
3,40.7198,1.84682,2.53426,1.33511,0.00593,0.9697,0.05441,0.01275,1.45609,3.51419,1.13184,0.00039208,0.00039208,0.00039208
4,45.1575,1.74621,1.9272,1.35895,0.00574,0.93939,0.09004,0.0188,1.47388,3.44153,1.14618,0.000523962,0.000523962,0.000523962
5,50.2587,1.65428,1.58947,1.28033,0.00593,0.9697,0.01251,0.00529,1.65501,3.37043,1.26884,0.000653072,0.000653072,0.000653072
6,55.3762,1.70656,1.4861,1.28223,0.00556,0.90909,0.00933,0.00449,1.53731,3.3789,1.28207,0.00077941,0.00077941,0.00077941
7,59.8271,1.68335,1.45246,1.2995,0.00583,0.95455,0.0108,0.00492,1.42624,3.3554,1.25634,0.000902976,0.000902976,0.000902976
8,65.0941,1.85344,1.57499,1.47715,0.005,0.81818,0.00845,0.00378,1.73273,3.62244,1.39644,0.00102377,0.00102377,0.00102377
9,69.3873,1.71673,1.52036,1.34469,0.00583,0.95455,0.08786,0.03009,1.52013,3.21003,1.2535,0.00114179,0.00114179,0.00114179
10,74.5867,1.72025,1.37831,1.30073,0.00583,0.95455,0.03544,0.01565,1.47086,3.10193,1.30189,0.00125704,0.00125704,0.00125704
11,79.8549,1.59056,1.30937,1.27387,0.00602,0.98485,0.05652,0.02866,1.55958,3.02895,1.35495,0.00136952,0.00136952,0.00136952
12,85.0495,1.65581,1.29432,1.28477,0.4704,0.01425,0.64159,0.34358,1.54756,2.70002,1.37706,0.00147923,0.00147923,0.00147923
13,90.2593,1.56818,1.26731,1.27634,0.00611,1,0.58736,0.31038,1.44694,2.7351,1.29208,0.00158616,0.00158616,0.00158616
14,95.5434,1.56981,1.24213,1.27147,0.8887,0.36296,0.81282,0.42462,1.56919,2.26527,1.37665,0.00169032,0.00169032,0.00169032
15,100.741,1.55502,1.17524,1.25458,0.98265,0.85814,0.94456,0.49666,1.54115,1.96174,1.39659,0.0017228,0.0017228,0.0017228
16,105.952,1.58057,1.10767,1.24497,0.96831,0.92609,0.95283,0.52033,1.6312,1.58584,1.41316,0.001703,0.001703,0.001703
17,111.034,1.44105,1.02155,1.19929,0.98118,0.93939,0.95157,0.52332,1.59343,1.4827,1.3871,0.0016832,0.0016832,0.0016832
18,116.282,1.50235,1.06073,1.21529,0.95594,0.93939,0.94765,0.52951,1.57751,1.31067,1.39238,0.0016634,0.0016634,0.0016634
19,121.477,1.50121,0.98807,1.20933,0.98446,0.96012,0.95143,0.53879,1.45093,1.11301,1.30304,0.0016436,0.0016436,0.0016436
20,126.587,1.49137,1.00157,1.19778,0.98414,0.9401,0.95127,0.48744,1.65077,1.2637,1.36616,0.0016238,0.0016238,0.0016238
21,131.737,1.52513,1.01936,1.26398,0.96906,0.94924,0.95186,0.51993,1.55979,1.13303,1.31558,0.001604,0.001604,0.001604
22,136.793,1.62534,1.037,1.26825,0.9542,0.94714,0.9681,0.53,1.48888,0.90108,1.30895,0.0015842,0.0015842,0.0015842
23,141.916,1.54394,0.99752,1.20952,0.93266,0.92424,0.91858,0.51149,1.57761,0.89175,1.3327,0.0015644,0.0015644,0.0015644
24,147.092,1.52653,0.96856,1.21308,0.9777,0.95455,0.96996,0.53167,1.54543,0.88118,1.30928,0.0015446,0.0015446,0.0015446
